City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,puerto baquerizo moreno,-0.9,-89.6,23.55,73,75,7.72,EC,1724968044
131,khanty-mansiysk,61.0042,69.0019,10.06,87,0,1.0,RU,1724968045
132,brisas de zicatela,15.8369,-97.0419,31.29,74,75,3.09,MX,1724968046
133,olyokminsk,60.3736,120.4264,7.59,94,96,1.87,RU,1724968047
134,ulanhot,46.0833,122.0833,17.01,92,60,1.67,CN,1724968048
135,fort bragg,35.139,-79.006,35.75,53,20,0.89,US,1724968050
136,hawaiian paradise park,19.5933,-154.9731,28.83,85,40,4.63,US,1724967842
137,alice springs,-23.7,133.8833,17.75,42,7,0.0,AU,1724968052
138,blackmans bay,-43.0167,147.3167,10.41,74,54,3.13,AU,1724968053
139,kerikeri,-35.2268,173.9474,16.62,90,100,0.89,NZ,1724968054
140,amassoma,4.9692,6.1097,24.27,92,98,2.48,NG,1724968055
141,portland,45.5234,-122.6762,33.64,21,0,6.17,US,1724967998
142,aitape,-3.1374,142.3475,26.49,82,100,1.47,PG,1724968057
143,listowel,52.4464,-9.485,11.45,90,85,1.62,IE,1724968058
144,usinsk,65.9939,57.5281,5.25,92,62,5.18,RU,1724968060
145,negru voda,43.8167,28.2,18.9,92,26,3.03,RO,1724968061
146,papatowai,-46.5619,169.4708,9.16,60,30,7.21,NZ,1724968062
147,beeville,28.4008,-97.7483,32.77,52,85,4.73,US,1724968063
148,fomboni,-12.28,43.7425,24.47,77,5,0.87,KM,1724968064
149,katsuura,35.1333,140.3,26.94,89,100,8.5,JP,1724968065
150,vorkuta,67.5,64.0,5.83,79,100,5.51,RU,1724968066
151,pecos,31.4229,-103.4932,35.05,28,0,2.57,US,1724967900
152,kabba,7.8287,6.0731,21.72,96,100,2.54,NG,1724968068
153,piacabucu,-10.4056,-36.4344,23.56,69,4,4.64,BR,1724968035
154,tofol,5.3248,163.0078,28.85,76,36,6.73,FM,1724968071
155,ceyrat,45.7318,3.0633,21.35,64,0,2.57,FR,1724968072
156,brokopondo,4.75,-55.1667,27.62,74,77,1.2,SR,1724968073
